Location_ID,Sensor_Description,Sensor_Name,Installation_Date,Note,Location_Type,Status,Direction_1,Direction_2,Latitude,Longitude,Location,Midnight,1am,2am,3am,4am,5am,6am,7am,8am,9am,10am,11am,Noon,1pm,2pm,3pm,4pm,5pm,6pm,7pm,8pm,9pm,10pm,11pm
36,Queen St (West),Que85_T,20/1/2015,,Outdoor,A,North,South,-37.81652527,144.9612106,"-37.81652527, 144.96121062",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
37,Lygon St (East),Lyg260_T,11/2/2015,,Outdoor,A,North,South,-37.80310271,144.9667145,"-37.80310271, 144.96671451",814,399,171,102,57,70,170,385,681,1117,1622,2164,2584,2897,2958,3068,3406,3781,3874,3748,3294,2847,2949,2035
39,Alfred Place,AlfPl_T,4/12/2019,In 4/12/2019 sensor upgraded,Outdoor,A,North,South,-37.81379749,144.9699575,"-37.81379749, 144.96995745",267,227,185,114,36,19,23,39,95,146,213,217,239,246,233,244,243,256,269,285,307,326,436,452
40,Lonsdale St-Spring St (West),Spr201_T,19/1/2015,,Outdoor,A,North,South,-37.80999341,144.9722759,"-37.80999341, 144.97227587",89,35,16,9,6,10,6,17,39,93,129,173,208,244,237,228,232,287,219,558,393,423,473,270
41,Flinders La-Swanston St (West),Swa31,29/6/2017,,Outdoor,A,North,South,-37.81668634,144.9668973,"-37.81668634, 144.96689733",52,28,17,11,7,8,13,36,81,138,142,129,134,141,130,144,149,175,172,135,108,105,86,105
42,Grattan St-Swanston St (West),UM1_T,15/4/2015,,Outdoor,A,North,South,-37.80008566,144.9638641,"-37.80008566, 144.96386412",58,30,16,13,8,10,25,48,86,130,176,306,469,316,302,255,367,310,364,244,192,159,326,143
43,Monash Rd-Swanston St (West),UM2_T,15/4/2015,,Outdoor,A,North,South,-37.79844526,144.9641178,"-37.79844526, 144.96411782",27,17,12,8,4,5,12,21,38,58,93,102,116,131,126,120,115,122,102,83,69,68,60,39
44,Tin Alley-Swanston St (West),UM3_T,15/4/2015,,Outdoor,A,North,South,-37.79690473,144.9644038,"-37.79690473, 144.96440378",27,16,6,5,2,3,7,17,39,65,73,90,89,100,86,80,76,75,61,46,35,41,38,31
45,Little Collins St-Swanston St (East),Swa148_T,29/6/2017,,Outdoor,A,North,South,-37.81414075,144.9660938,"-37.81414075, 144.96609379",13,6,3,2,1,2,7,12,22,35,43,51,47,53,48,48,49,46,39,28,21,21,19,16
46,Pelham St (South),Pel147_T,10/7/2017,,Outdoor,A,East,West,-37.80240719,144.9615673,"-37.80240719, 144.9615673",415,264,166,97,40,31,51,81,196,400,634,999,1382,1766,1860,1729,1667,1631,1443,1444,1317,1208,1105,794
47,Melbourne Central-Elizabeth St (East),Eli250_T,24/8/2017,,Outdoor,A,North,South,-37.81160332,144.9622008,"-37.81160332, 144.96220077",979,619,410,261,163,175,257,338,708,1345,2096,2876,3455,3810,3814,3679,3722,3610,3244,2897,2459,2394,2403,1865
48,QVM-Queen St (East),QVMQ_T,2/10/2017,,Outdoor,A,East,West,-37.80631581,144.958667,"-37.80631581, 144.95866697",22,14,9,5,3,3,6,17,27,46,58,69,78,83,83,82,83,88,79,76,66,57,48,38
49,QVM-Therry St (South),Eli501_T,29/11/2017,,Outdoor,A,East,West,-37.80730068,144.9595606,"-37.80730068, 144.95956055",378,257,177,129,68,65,88,144,328,719,1157,1635,1906,2213,2250,2162,1990,1862,1609,1416,1186,1007,865,692
50,Faraday St-Lygon St (West),Lyg309_T,30/11/2017,,Outdoor,A,North,South,-37.79808192,144.9672101,"-37.79808192, 144.96721013",71,48,30,24,18,25,55,91,172,326,477,605,626,635,557,457,339,275,262,231,208,173,143,120
51,QVM-Franklin St (North),Fra118_T,30/11/2017,,Outdoor,A,East,West,-37.80841815,144.9590632,"-37.80841815, 144.95906316",87,73,54,40,34,37,47,76,121,224,375,501,558,543,433,334,225,150,149,149,140,129,114,121
52,Elizabeth St-Lonsdale St (South),Eli263_T,31/7/2017,,Outdoor,A,East,West,-37.81252157,144.9619401,"-37.81252157, 144.9619401",50,16,10,5,6,8,9,23,72,216,330,457,527,549,558,545,515,521,572,622,586,475,305,146
53,Collins Street (North),Col254_T,23/9/2015,,Outdoor,A,East,West,-37.81564191,144.965499,"-37.81564191, 144.965499",53,32,26,18,15,16,29,56,80,142,207,272,281,294,282,242,205,185,179,171,128,122,101,85
54,Lincoln-Swanston (West),Swa607_T,26/6/2018,,Outdoor,A,North,South,-37.804024,144.963084,"-37.804024, 144.96308399",346,240,150,108,34,22,20,34,98,187,313,450,556,687,640,652,598,563,646,667,636,598,599,572
55,Elizabeth St-La Trobe St (East),Eli380_T,19/7/2018,,Outdoor,A,North,South,-37.80988941,144.9613433,"-37.80988941, 144.96134331",128,74,48,28,15,14,27,67,205,489,826,1191,1340,1454,1437,1345,1219,938,661,576,459,406,401,294
